nombredepartamento,nombremunicipio,nombreestablecimiento,direccion
ATLÁNTICO,BARRANQUILLA,CENTRO DE ESTIMULACIÓN Y PREESCOLAR MULTIBILINGUE BLOSSOM KIDS,KR 49 C 98 127
NARIÑO,CUMBITARA,CENTRO EDUCATIVO BUENAVISTA,VEREDA  BUENAVISTA
BOLÍVAR,TURBACO,INSTITUCION EDUCATIVA  DOCENTE DE TURBACO,CL 1 11 14
VALLE DEL CAUCA,BUENAVENTURA,INSTITUTO EDUCATIVO JESUS DE NAZARETH SHAMMA,CL 5 B 68 61
META,PUERTO LÓPEZ,IE TECNICO AGROPECUARIO,CL 5 A KR 28 Y 30
VALLE DEL CAUCA,PRADERA,LIC CAMPESTRE SENDERO DE LOS ANGELES,CL 10 KR 9
META,CABUYARO,IE CABUYARO,KR 5 VI GUAYABAL DE UPIA
BOYACÁ,TUNJA,COLEGIO CORPORACION SANTO DOMINGO,KR 12 20 46
NORTE DE SANTANDER,OCAÑA,INSTITUTO ESTUDIANTIL REGIONAL INTER,KR 11 15 480
VALLE DEL CAUCA,BUENAVENTURA,CENTRO EDUCATIVO PROGRESAR,IND POSTE 13-1
MAGDALENA,FUNDACIÓN,INSTITUCION EDUCATIVA DEPARTAMENTAL JOHN F. KENNEDY,CL 9 1 126
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARDIN INFANTIL LOS PAJECITOS,CLL. 39 NO. 78 A - 66 
BOYACÁ,QUÍPAMA,IE DIVINO NIÑO CORMAL,VDA CORMAL
HUILA,NEIVA,GIMN  HUMANISTICO DEL ALTO MAGDALENA,CL 11 6 37
CASANARE,AGUAZUL,IE JORGE ELIECER GAITAN,CR 19  CLL 20
HUILA,PITALITO,LICEO LEONARDO DA VINCI,KR 1 4 33
VALLE DEL CAUCA,BUENAVENTURA,CENTRO EDUCATIVO MIS GRANDES SUEÑOS,KR 63 1 S 03
QUINDIO,QUIMBAYA,PREESC CARRUSEL,KR 4 16 38
ATLÁNTICO,BARRANQUILLA,CENTRO EDUCATIVO CAMPANITAS TILIN TILAN ,KR 42 H 93 78
CAUCA,POPAYÁN,COLEGIO SAN CARLOS,CL 9 34 57
ANTIOQUIA,FREDONIA,I. E. R. MURRAPAL,VDA MURRAPAL
CHOCÓ,ALTO BAUDÓ,IE INDÍGENA CHIMÍA DE MIACORA,CORREG MIACORA
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",HOG INF LOS PEQUEÑOS GENIOS                                                                         ,CLL. 41A NO.55-26
SANTANDER,SABANA DE TORRES,COLEGIO SANTO ANGEL                                                                                 ,CL 20 10 46
ATLÁNTICO,BARRANQUILLA,INST. EDUC. DIST. LA LUZ (ANT. C.E.B. # 008),KR 13 22 96
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",INST MARSELLA                                                                                       ,CL 7 A 70 04
SANTANDER,BUCARAMANGA,COLEGIO ALLAN KARDEC,CRA 20 N. 28-61 BARRIO ALARCON
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC MODERNO JACQUES IVES COUSTEAU                                                                   ,CL 63 F 115 29
SUCRE,SAMPUÉS,GIMNASIO SAN JOSUE,BARRIO SAN JOSE
VALLE DEL CAUCA,PALMIRA,COL SANTO TOMAS,CL 31 23 33
NARIÑO,LA UNIÓN,CENTRO EDUCATIVO LA ALPUJARRA,CORREG LA ALPUJARRA
ANTIOQUIA,MEDELLÍN,INST EDUC JOSE ASUNCION SILVA,IND CL 118 64 CC 68
VALLE DEL CAUCA,CALI,LICEO NUEVA FLORESTA,KR 23 49 30
VALLE DEL CAUCA,CALI,COLEGIO A. VERNER LARSEN,CL 36 44 A 49
BOLÍVAR,ARJONA,FUNDACION CENTRO EDUCATIVO LA PROVIDENCIA,KR 47 54 B 07
MAGDALENA,GUAMAL,INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL LA RINCONADA,BELLAVISTA
CÓRDOBA,TIERRALTA,GIMNASIO PEDAGOGICO OSWALDO MAUSSA,KR 20 7 69
VALLE DEL CAUCA,ZARZAL,IE NORMAL SUPERIOR NUESTRA SEÑORA DE LAS MERCEDES,KR 11 11 55
CUNDINAMARCA,NILO,JARDÍN INFANTIL MUNDO MÁGICO,DG 4 6 14
ANTIOQUIA,MEDELLÍN,MAT Y JARD INF PIMPILIM,CL 112 B 67 71
TOLIMA,IBAGUÉ,LICEO FEDERICO OZANAM,CL 27 4 25
CUNDINAMARCA,EL PEÑÓN,INSTITUCION EDUCATIVA DEPARTAMENTAL ANTONIO NARIÑO,CRA 3 NO 3 68
CUNDINAMARCA,MOSQUERA,COLEGIO VILLA MARIA                                             ,CL 16 1 B 20
ANTIOQUIA,SAN FRANCISCO,C. E. R. SAN PEDRO,VDA SAN PEDRO
AMAZONAS,MIRITI - PARANÁ,PUKUMI,COMUNID UNION JIRIJIRIMO
CUNDINAMARCA,PARATEBUENO,I.E.D. AGRICOLA PARATEBUENO,CL. 4 # 11 60.
BOLÍVAR,CARTAGENA,INSTITUTO EDUCATIVO HERMANA ALICIA ALVAREZ,MZ M LT 19
ATLÁNTICO,CANDELARIA,INSTITUCION EDUCATIVA DE LEÑA,CALLE 5  5 - 66
NARIÑO,ROBERTO PAYÁN,CENTRO EDUCATIVO PIRI ESPUMERO,VDA  PIRI ESPUMERO
BOLÍVAR,CARTAGENA,INST. DE EDUCACION ACTIVA LOS CARACOLES,MZ 33 LT 1 ET 2
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",GIMN INF LAPIZ MAGICO                                                                               ,CLL. 24 SUR NO14-61
HUILA,GARZÓN,AMERICAN LANGUAGE SCHOOL,CL 6 5 47
CUNDINAMARCA,GIRARDOT,COLEGIO CRISTIANO MI PRIMER AMOR,IND CLL 33 # 7-38A
VALLE DEL CAUCA,CALI,COL FE Y ESPERANZA MISION PANAMERICANA,KR 23 A 13 60
CÓRDOBA,PUEBLO NUEVO,CENTRO EDUC. PRIMAVERA,CGTO PRIMAVERA
VALLE DEL CAUCA,CALI,JARDIN INFANTIL SUEÑOS Y FANTASIAS,CL 13 F NO 65 - 122
CAUCA,BUENOS AIRES,I.E. TIMBA,CORREGIMIENTO TIMBA
NARIÑO,SANTA BÁRBARA,CENTRO EDUCATIVO MADRID,VEREDA QUIGUPI MADRID
NARIÑO,ROBERTO PAYÁN,CENTRO EDUCATIVO SIRENA SAUNDE MEDIO,VEREDA SIRENA
NARIÑO,POTOSÍ,CENTRO EDUCATIVO VILLA NUEVA,VEREDA VILLA NUEVA
MAGDALENA,SANTA MARTA,I.E.D. COLEGIO NUESTRA SEÑORA DE FATIMA,KR 16 9 A 91
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL MUÑECOS Y FIGURAS                                                                               ,CR. 72K NO.38-47 SUR
HUILA,GIGANTE,IE SOSIMO SUAREZ,KR 6 12 15
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO BOLIVARIANO,CL 8 S 31 D 26
SUCRE,LA UNIÓN,I.E. GIMNASIO DEL ROSARIO ,IND CLL PRINCIPAL
CHOCÓ,ALTO BAUDÓ,IE INDÍGENA LA PLAYITA,COMUN LA PLAYITA
BOYACÁ,PAUNA,I.E. SANTA ROSA,VDA. SANTA ROSA
VALLE DEL CAUCA,CALI,INSTITUTO CENTRAL DEL COMERCIO Y BACHILLERATO,KR 73 3 C 65
NARIÑO,POTOSÍ,INSTITUCION EDUCATIVA BAJO SINAI,CORREGIMIENTO BAJO SINAI
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL CHARLES BABBAGGE                                                                                ,KR 78 B 39 A 02 SUR
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC SANTA BERNARDITA                                                                                ,KR 54 52 56 SUR
SANTANDER,FLORIDABLANCA,FUND COL UIS,VI RUITOQUE BAJO 27 240
CALDAS,PALESTINA,INSTITUTO MONSEÑOR ALFONSO DE LOS RIOS,CORREGIMIENTO DE ARAUCA
CÓRDOBA,PLANETA RICA,CENT EDUC MADRE LAURA,CGTO.CAMPO BELLO
ANTIOQUIA,REMEDIOS,I.E. IGNACIO YEPES YEPES,CQ. 8 15 149
CAUCA,EL TAMBO,I.E. EL PLACER (ANTES C.E. EL PLACER),CORREGIMIENTO EL PLACER
CÓRDOBA,MONTERÍA,CENTRO EDUCATIVO CRECER,DG 11 32 04
ATLÁNTICO,BARRANQUILLA,INST. EDUC. DIST. DE FORMACION INTEGRAL,CL 24 B 4 02
MAGDALENA,SANTA MARTA,CENTRO EDUCATIVO EDUARDO CARRANZA,CALLE 9 NO 4 - 35
ANTIOQUIA,MEDELLÍN,INST EDUC JORGE ROBLEDO,CL 65 87 74
TOLIMA,MELGAR,I.E. JUAN JOSÉ,KR 23 8 43
ANTIOQUIA,ITAGUI,INSTITUCION EDUCATIVA CONCEJO MUNICIPAL DE ITAGUI,KR 64 25 01
NORTE DE SANTANDER,CHINÁCOTA,JARD INF RUGRATS,AV 3 0-95 CRISANA
MAGDALENA,CHIVOLO,INSTITUCION EDUCATIVA DEPARTAMENTAL SANTA ROSA DE LIMA,LA CHINA
CESAR,ASTREA,C.E. EZEQUIEL MONTERO,CORREGIMIENTO EL HEBRON
NORTE DE SANTANDER,TEORAMA,INSTITUTO TECNICO IMTEL,CENTRO
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL CENAT                                                                                           ,CL 45 SUR 18 37
RISARALDA,DOSQUEBRADAS,LICEO LOS ANDES,KR 16 41 27
ANTIOQUIA,BELLO,IE ABRAHAM REYES,AV 47 65 62
VALLE DEL CAUCA,BUENAVENTURA,CENTRO EDUCATIVO JUNIOR DEL SABER,IND KR 61 MZ 7D 09
CAQUETÁ,SAN VICENTE DEL CAGUÁN,I.E. R. PLAYA RICA,VDA PLAYA RICA
GUAVIARE,EL RETORNO,I.E. CERRITOS,VDA. CERRITOS
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",INST PEDAG NACIONAL                                                                                 ,AC 127 11 20
BOLÍVAR,ACHÍ,INSTITUCION EDUCATIVA TECNICA AGROPECUARIA LOS NISPEROS,C/GIMIENTO LOS NISPEROS
ANTIOQUIA,TURBO,I.E. SAN MARTIN DE PORRES,CL 100 15 82
VALLE DEL CAUCA,CALI,COLEGIO NUESTRA SE?ORA  DE LOS MILAGROS,IND KR 26B2  91 55
META,GRANADA,IE BRISAS DE IRIQUE,CALLE 18 #4-22
SUCRE,MAJAGUAL,LICEO VICENTE CAVIEDES (SEDE MAJAGUAL) ,VDA EL POZON
VALLE DEL CAUCA,CALI,INSTITUCION EDUCATIVA TECNICO COMERCIAL VILLA DEL SUR,CL 30 A 41 E 99
RISARALDA,DOSQUEBRADAS,JARDIN INFANTIL CASA MUSICAL,ET 4 MZ 7 CS 20 
SANTANDER,EL CARMEN DE CHUCURÍ,COLEGIO  SAN LUIS GONZAGA,CASCO URBANO CALLE 3 N°  4-07
CAUCA,SILVIA,I.E. RENACER PÁEZ,CORREGIMIENTO PITAYO
CUNDINAMARCA,TABIO,GIMN MODERNO SANTA BARBARA                 ,CL 3 3 61
VALLE DEL CAUCA,CALI,EL POBLADO BACHILLERATO TÉCNICO COMERCIAL,CL 42 32 B 26
CAQUETÁ,LA MONTAÑITA,I.E.R. EL DIVISO,VDA ALTO ARENOSO
CALDAS,ANSERMA,INSTITUTO TECNICO DE CAPACITACION EN SISTEMAS,LA VARIANTE
ATLÁNTICO,BARRANQUILLA,COLEGIO SALEM,KR 17 36 B 89
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",GIMN LA KHUMBRE,IND KM 16 VIA GUAYMARAL
NORTE DE SANTANDER,TOLEDO,I.E. SAMORE,CORREG DE SAMORE
CAQUETÁ,CARTAGENA DEL CHAIRÁ,I.E.R JOSE ANTONIO GALAN,REMOLINO DEL CAGUAN
CESAR,VALLEDUPAR,I E LOPERENA,CL 16 11 75
ANTIOQUIA,MEDELLÍN,COL COMFAMA - SEDE MANRIQUE,KR 45 78 61
CAQUETÁ,FLORENCIA,CENTRO DE EDUCACION FORMAL PARA JOVENES Y ADULTOS COMFACA,KR 6 CL 12
SANTANDER,BUCARAMANGA,GIMN CAMP SAN SEBASTIAN                                                                             ,KR 53 73 83
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",INST INTEGRADO DE SUBA                                                                              ,CL 139 108 64
VALLE DEL CAUCA,BUENAVENTURA,ESCUELA CAMINO A LA ESPERANZA,IND KR 63 CL 4S POSTE  401126
CÓRDOBA,MONTERÍA,CENTRO EDUCATIVO MI FUTURO,IND DG 6 TR 8 7 95
NORTE DE SANTANDER,PAMPLONA,COL DE NUESTRA SEÑORA DEL ROSARIO,KR 5 3 39
CESAR,AGUACHICA,COLEGIO CAMPESTRE DIVINO AMOR,CL 5 0 85
HUILA,LA PLATA,COL-EMPRESARIAL DE LOS ANDES,KR 3 7 63
ANTIOQUIA,CÁCERES,INSTITUTO CORFERRINI,CRA. 21  27-25
CAQUETÁ,FLORENCIA,SANTANDER,VDA. SANTANDER
META,VILLAVICENCIO,INSTITUTO DE EDUCACION INTEGRAL LIDER,KR 31 41 A 38
ATLÁNTICO,BARRANQUILLA,COLEGIO DIST. MARIE POUSSEPIN (ANT. C.E.B. # 135),CL 51 20 B 105
CUNDINAMARCA,SIBATÉ,CENTRO EDUCATIVO INFANCIA DE JESUS,CARRERA 11 N°11-52
BOYACÁ,DUITAMA,JARDIN INFANTIL OSO MELOSO,CL 2 14 17
META,SAN CARLOS DE GUAROA,IE SIMON BOLIVAR,INSP. LA PALMERA
VALLE DEL CAUCA,CALI,LIC PORVENIR,KR 29 B 38 04
VALLE DEL CAUCA,CALI,PRINCIPE DE PAZ,CL 36 41 B 121
NARIÑO,EL PEÑOL,CENTRO EDUCATIVO GUAMBANGA,EL PEÑOL
NARIÑO,PASTO,I.E.M. CIUDADELA DE PAZ,CRA 32 32B - 03
CUNDINAMARCA,FACATATIVÁ,CENTRO DE ENSEÑANZA PRECOZ CENPI                            ,CR 9 NO 13A 158
VALLE DEL CAUCA,CALI,ESCUELA MARCELINO,CL 39 3 40
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",GIMNASIO MODERNO ALEXANDER SUTHERLAND,CL 4 53 B 31
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO GUILLERMO LEON VALENCIA (IED),KR 24 B 16 03 SUR
CESAR,VALLEDUPAR,I.E. JOSE CELESTINO MUTIS,CORREG GUACOCHE
NORTE DE SANTANDER,SANTIAGO,CENT EDUC RUR EL PARAMO,VDA EL PARAMO
BOLÍVAR,SANTA CATALINA,INSTITUCION EDUCATIVA TECNICA ACUICOLA MIGUEL NEVADO NEVADO DE GALERAZAMBA,C/GIMIENTO GALERAZAMBA
VALLE DEL CAUCA,BUENAVENTURA,CENTRO EDUCATIVO MIS  RAICES,KR 57 8 38
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO GIMN DEL CAMPO JUAN DE LA CRUZ VARELA (IED),CORREGIMIENTO SAN JUAN DE SUMAPAZ
LA GUAJIRA,RIOHACHA,CENTRO ETNOEDUCATIVO #16 (UNA¿ APUTCHON),RESGUARDO DE UNA¿ APUTCHON
NARIÑO,SAN PABLO,CENTRO EDUCATIVO CAMPOBELLO,CAMPOBELLO
CUNDINAMARCA,GACHANCIPÁ,INSTITUCION EDUCATIVA DEPARTAMENTAL PBRO. CARLOS GARAVITO A.,CALLE 6  NO 1 32
RISARALDA,PEREIRA,IE RODRIGO ARENAS BETANCOURT,IND CALLE 80 NO.36B 30 B/ CUCHILLA LOS CASTRO
VALLE DEL CAUCA,CALI,COL KONRAD LORENZ,KR 8D # 72-B26
CÓRDOBA,PUERTO LIBERTADOR,CENT EDUC FRANCISCO JOSE DE CALDAS,VDA COROZALITO
VALLE DEL CAUCA,TULUÁ,COLEGIO SANTO DOMINGO SAVIO,CL 19 28 A 76
VALLE DEL CAUCA,PALMIRA,LIC DIVINO NIÑO,KR 31 23 34
ATLÁNTICO,SOLEDAD,COLEGIO ESPA¥A E.U,KR 25 45 A 20
MAGDALENA,SANTA MARTA,CENTRO INFANTIL PILATUNAS,CALLE 21 N°17-28
CUNDINAMARCA,FACATATIVÁ,I.E.M EMILIO CIFUENTES,IND CERCADO LOS ZIPAS
SANTANDER,VALLE DE SAN JOSÉ,INSTITUCION EDUCATIVA  EL MORRO,VEREDA EL MORRO
CASANARE,AGUAZUL,LICEO SAN JUAN PABLO II,KR 14 12 57
META,SAN MARTÍN,COLEGIO SAN MARTIN DE TOURS,KR 5 5 78
NARIÑO,POLICARPA,CENTRO EDUCATIVO SANTA LUCIA,VEREDA SANTA LUCIA
MAGDALENA,SANTA MARTA,INSTITUTO PEDAGÓGICO DE GAIRA,CL 6 10 18
VALLE DEL CAUCA,PALMIRA,CENTRO ROTARIO INTEGRAL DE EDUCACIÓN,CL 32 A 32 50
CAUCA,PIENDAMÓ,INST EDUC LOS UVALES ANTES (INST EDUC AGROP LOS UVALES),VEREDA LOS UVALES
ANTIOQUIA,GRANADA,I. E. JORGE ALBERTO GOMEZ GOMEZ,AV COLON 16 143
CUNDINAMARCA,FUSAGASUGÁ,INST SANTANDER,CLL 9 # 8-47
NORTE DE SANTANDER,CÚCUTA,COL PANAMERICANO,IND MZ 2 LOTE 30 Y 55
NARIÑO,SAN ANDRES DE TUMACO,IE. IBERIA,IND IBERIA
HUILA,TARQUI,IE EL VERGEL,CEN POBL EL VERGEL
SANTANDER,BARRANCABERMEJA,INSTITUCION EDUCATIVA VEINTISEIS DE MARZO,KR 35 58 18
SANTANDER,FLORIDABLANCA,COLEGIO NUEVO MUNDO,CL 42 4 47
ATLÁNTICO,BARRANQUILLA,JARDIN INFANTIL AÑOS MARAVILLOSOS,KR 67 81 85
VALLE DEL CAUCA,CALI,INSTITUCION EDUCATIVA LA MERCED,CL 47 4 E 30
VALLE DEL CAUCA,CALI,C.E. CAMINO HACIA EL FUTURO,IND DG 26P 19 # 105B-67
HUILA,CAMPOALEGRE,IE JOSE HILARIO LOPEZ,CL 16 7 75
META,SAN MARTÍN,COLEGIO CERVANTES SAAVEDRA,CRA 5 CALLE 11 BARRIO LIBERTADORES
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC LAS MERCEDES                                                                                    ,CL 97 67 A 05
ATLÁNTICO,BARRANQUILLA,I.E. MARIA INMACULADA ,CL 83 42 D 61
MAGDALENA,SANTA MARTA,JARDIN INFANTIL MI EDAD FELIZ,CALLE 12 NO 19-30
VALLE DEL CAUCA,BUENAVENTURA,CENTRO EDUCATIVO SANTA TERESA DE JESÚS,CL 2 34 B 19
QUINDIO,ARMENIA,CIUDADELA CUYABRA,IND CLL   32 Nº  29-02
ANTIOQUIA,MEDELLÍN,INST EDUC LA SALLE DE CAMPOAMOR,KR 65 B 4 49
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO ROBERT F. KENNEDY (IED),AV BOYACA 64 H 39
VALLE DEL CAUCA,CALI,LIC. JUVENIL VISION DE FUTURO,KR 39 D 41 23
SUCRE,SINCELEJO,LICEO MODERNO DEL CARIBE,MZ 69 LT 8 Y 11
MAGDALENA,SANTA MARTA,INSITUTO PEPE GNECCO,MZ 47 CASA 8 EL PANDO
CÓRDOBA,CANALETE,IE NTRA SRA  DEL CARMEN DE POPAYAN,CALLE PRINCIPAL CORREGIMIENTO DE POPAYAN
VALLE DEL CAUCA,CALI,CENTRO DE CAPACITACION TECNICA PROFESIONAL CENPROF,AVENIDA 5 NORTE NO. 23AN-23
HUILA,PITAL,IE NTRA SRA DEL CARMEN,VDA EL CARMELO
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO AGUAS CLARAS (IED),CL 14 SUR 22 01 ESTE
MAGDALENA,SANTA MARTA,ESCUELA MIXTA MARIA AUXILIADORA,CALLE 14 NO 2A -05
ATLÁNTICO,JUAN DE ACOSTA,I.E. TÉCNICA JUAN V PADILLA,VEREDA EL VAIVEN
ANTIOQUIA,JARDÍN,I. E. R. KARMATARÚA,RESGUARDO INDIGENA CRISTIANIA
CAUCA,EL TAMBO,INSTITUCION EDUCATIVA EL ROSAL,VEREDA LA GALLERA
ANTIOQUIA,NECOCLÍ,I. E. R. MULATICOS PIEDRECITAS,VDA MULATICOS PIEDRECITAS
CUNDINAMARCA,TENJO,LIC ESPAÑOL PEREZ GALDOS                                    ,KR 8 VI SIBERIA
CUNDINAMARCA,CHÍA,GIMN CAMP SANTA TERESITA DE JESUS                           ,CLL 5 2 85
SANTANDER,CHARALÁ,INSTITUCION EDUCATIVA EL RESGUARDO,VEREDA EL RESGUARDO
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO NUEVA DELHI (IED),CL 62 A SUR 14 I 33 ESTE
NARIÑO,EL CHARCO,CENTRO EDUCATIVO MONTE ALTO,VEREDA  MONTE ALTO
NARIÑO,YACUANQUER,CENTRO EDUCATIVO NUESTRA SEÑORA DE FATIMA,VEREDA LA AGUADA
NARIÑO,TÚQUERRES,CENTRO EDUCATIVO VILLA NUEVA,VEREDA VILLA NUEVA
ATLÁNTICO,PUERTO COLOMBIA,CENTRO EDUCATIVO GIMNASIO CAMPESTRE,CL 10 10 D 110
SUCRE,COROZAL,I.E. DON ALONSO,CORREG DON ALONSO
ANTIOQUIA,CALDAS,I. E. MARIA AUXILIADORA,KR 49 131 S 23
CESAR,LA JAGUA DE IBIRICO,INST. EDU. LUIS CARLOS GAL¿N,DG 4 4 10
HUILA,LA ARGENTINA,IE ELISA BORRERO DE PASTRANA,CL 5 1 48
BOLÍVAR,CARTAGENA,INSTITUCION EDUCATIVA SAN FRANCISCO DE ASIS,KR 3 8 71
VALLE DEL CAUCA,CALI,INSTITUCION EDUCATIVA TECNICO INDUSTRIAL ANTONIO JOSE CAMACHO,KR 16 12 00
ANTIOQUIA,DONMATÍAS,CIBERCOLEGIO                                                                                        ,KR 30 37 00
MAGDALENA,EL BANCO,JARDIN INFANTIL LOS PITUFOS,CL 4 3 26
ATLÁNTICO,BARRANQUILLA,COLEGIO INFANTIL EL REYECITO,KR 64 B 84 155
ATLÁNTICO,BARRANQUILLA,INSTITUTO SAN FERNANDO FERRINI (FORMAL),CL 47 43 115
MAGDALENA,ALGARROBO,INSTITUCION EDUCATIVA DEPARTAMENTAL RAFAEL NU¿EZ,BARRIO 26 DE JULIO
CESAR,VALLEDUPAR,LICEO CRISTIANO LA PAZ,CL 20 J 4 30
ANTIOQUIA,MEDELLÍN,COLEGIO EUSKADI                                             ,CARRERA 10 N° 16A SUR 3
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO CAPACITACION 2000,AV CARACAS 62 09
MAGDALENA,FUNDACIÓN,COLEGIO MANUEL FAUSTINO MOJICA,CALLE 8 NO 9 - 72
VALLE DEL CAUCA,TRUJILLO,IE SAN ISIDRO,VDA EL TABOR PUENTE BLANCO
NARIÑO,SAMANIEGO,CENTRO EDUCATIVO YUNGUILLA,VDA. YUNGUILLA
ATLÁNTICO,BARRANQUILLA,COLEGIO JOSE HILARIO LOPEZ,KR 41 B 56 26
TOLIMA,PURIFICACIÓN,CENTRO EDUCATIVO MANITAS CREATIVAS,KR 7 9 01
CALDAS,VITERBO,INSTITUCION EDUCATIVA EL SOCORRO,VEREDA EL SOCORRO
ATLÁNTICO,BARRANQUILLA,COLEGIO PARA EL DESARROLLO INTEGRAL GLENN DOMAN,KR 11 35 B 84
TOLIMA,ORTEGA,INSTITUCION EDUCATIVA TECNICA OLAYA HERRERA,IDP OLAYA HERRERA
ANTIOQUIA,MEDELLÍN,I.E. MADRE MARIA MAZARELLO,CL 48 33 62
ATLÁNTICO,SOLEDAD,CENTRO EDUCATIVO FLAPY,CL 74 18 52
PUTUMAYO,PUERTO ASÍS,C.E.R. PUERTO BELLO,VDA. PUERTO BELLO
ANTIOQUIA,ITAGUI,PREESCOLAR PAYASITOS                                        ,KR 50 52 60
CASANARE,AGUAZUL,I.E. CUPIAGUA,CORREG CUPIAGUA
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",INST NIÑOS CIEGOS FUND JUAN ANTONIO PARDO OSPINA,KR 8 A ESTE 12 30 SUR
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL SAN GREGORIO HERNANDEZ                                                                          ,CL 76 A SUR 0 66 ESTE
CUNDINAMARCA,ANOLAIMA,COL  CAMPESTRE SANTO DOMINGO SAVIO,FINCA LA FLORESTA - CASA SAN MARTÍN DE PORRES 
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL SUPERIOR AMERICANO                                                                              ,KR 71 C 3 A 41
ANTIOQUIA,RIONEGRO,I. E. ANA GOMEZ DE SIERRA,AUTOPISTA MEDELLIN/BOGOTA KM 4
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",GIMN HENRY FAYOL                                                                                    ,AK 15 135 B 04
HUILA,LA PLATA,IE EL SALADO,VDA EL SALADO
VALLE DEL CAUCA,JAMUNDÍ,JARD INF MIS PRIMERAS CREACIONES,CLL 14 A TR 14-39
NARIÑO,POLICARPA,CENTRO EDUCATIVO BALBANERA,VEREDA BALBANERA
VALLE DEL CAUCA,CALI,JARDIN INFANTIL MARIA VICTORIA,IND KR E62 2A-05
HUILA,NEIVA,MARIA CRISTINA ARANGO DE PASTRANA,KR 8 BIS 33 25
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO TECNISISTEMAS,DG 44 SUR 50 37
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO SURAMERICANO MARBETH,CL 52 SUR 87 J 14
RISARALDA,PEREIRA,JARD. INF. UN APRENDIZAJE FELIZ,MZ 5 CS 17
CALDAS,ANSERMA,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR REBECA SIERRA CARDONA,CALLE 24  CARRERA 1E ESQUINA
VALLE DEL CAUCA,CALI,JARDIN INFANTIL TIA CECILIA,KR 42 A 14 C 25
CUNDINAMARCA,CAJICÁ,COLEGIO CAFETAL,VDA. CANELÓN
QUINDIO,CIRCASIA,SAN FRANCISCO DE ASÍS,KR 10 4 33
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL PERTIGA                                                                                         ,KR 58 169 02
CÓRDOBA,TUCHÍN,CENTRO EDUCATIVO CRUZ CHIQUITA,VDA. CRUZ CHIQUITA
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARD INFANTIL ABC SAUZALITO                                                                         ,CR. 69D NO.40-27
ANTIOQUIA,GÓMEZ PLATA,I. E. GOMEZ PLATA,CL 48 51 25
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",CENT FE Y ALEGRIA PALERMO SUR                                                                       ,CLL. 50D SUR NO.3-05 ESTE
ANTIOQUIA,CHIGORODÓ,I. E. R. INDIGENISTA POLINES,RESG. INDIGENA POLINES
CAUCA,MIRANDA,INSTITUCION EDUCATIVA EL CABILDO (ANTES CENTRO EDUCATIVO EL CABILDO),VEREDA EL CABILDO
VALLE DEL CAUCA,CALI,ESC INF AVENTURAS EN PAÑALES,TRANSVERSAL 2 # 2OESTE-47
BOLÍVAR,MAHATES,I.E. CAMILO TORRES DE MAHATES,CL 12 30 10
VALLE DEL CAUCA,CALI,LICEO BELLA SUIZA,CL 19 OESTE 55 69
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL PARROQ NSTRA SRA DE CHIQUINQUIRA                                                                ,KR 13 51 82
QUINDIO,MONTENEGRO,SANTA MARIA GORETTI,IND CIUDADELA COMPARTIR MONTENEGRO
VALLE DEL CAUCA,CALI,COLEGIO SAN PEDRO CLAVER,KR 1 D 49 30
VALLE DEL CAUCA,TULUÁ,COLEGIO SAN BARTOLOME LA MERCED,KR 27 35 07
TOLIMA,LÍBANO,INSTITUCION EDUCATIVA PATIOBONITO,VDA PATIOBONITO
