nombredepartamento,nombremunicipio,nombreestablecimiento,direccion
NARIÑO,SAN ANDRES DE TUMACO,COLEGIO CAMPESTRE SAN JOSE,CORREGIMIENTO LA GUAYACANA KM 78
MAGDALENA,CIÉNAGA,C.E.R. AGUA LINDA,VDA. AGUA LINDA. SAN PEDRO. SIERRA NEVADA
ANTIOQUIA,MEDELLÍN,INST MUSICAL DIEGO ECHAVARRIA,IND CR 32 N. 6SUR - 191
NARIÑO,SAN PABLO,CENTRO EDUCATIVO  BATEROS,BATEROS
ATLÁNTICO,SOLEDAD,INSTITUTO TECNICO EDGAR MORIN,CL 59 9 B 04
MAGDALENA,SANTA BÁRBARA DE PINTO,INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL SAGRADO CORAZON DE JESUS,CUNDINAMARCA
CUNDINAMARCA,FACATATIVÁ,CENTRO DE ESTIMULACION Y DESARROLLO INF POR UN FUTURO       ,CR 8 NO 11A 32
NARIÑO,IMUÉS,CENTRO EDUCATIVO SANTA ROSA,VERESA SANTA ROSA
ANTIOQUIA,CAUCASIA,I. E. SANTO DOMINGO,KR 21 35 12
ATLÁNTICO,SANTO TOMÁS,INSTITUCION EDUCATIVA TECNICA  COMERCIAL DE SANTO TOMAS,KR 6 5 A 191
CAUCA,POPAYÁN,COL COLOMBO FRANCES,KR 9 A 57 51
NARIÑO,OLAYA HERRERA,CENTRO EDUCATIVO SAN JOSE LA TURBIA,VEREDA SAN JOSE LA TURBIA
ANTIOQUIA,GUARNE,INSTITUTO REGIONAL COREDI                                                     ,KR 51 52 99
CHOCÓ,SAN JOSÉ DEL PALMAR,IE NORMAL SUPERIOR LA INMACULADA DE LA ITALIA,CORREG LA ITALIA
NARIÑO,TÚQUERRES,INSTITUCION EDUCATIVA AGROPECUARIA CUATRO ESQUINAS,CORREGIMIENTO CUATRO ESQUINAS
SANTANDER,FLORIDABLANCA,CENTRO EDUCATIVO CRISTIANO MONTE SANTO,TV 112 34 A 57
VAUPÉS,YAVARATÉ,I.E.D. DE MONFORTH,CORREGIMIENTO DE YAVARATE
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARDIN INFANTIL CAMPESTRE MI BELLA IMAGEN                                                           ,KR 17 164 39
CAUCA,PURACÉ,INSTITUCION EDUCATIVA LA PLAYA,VEREDA LA PLAYA
NARIÑO,SAN LORENZO,CENTRO EDUCATIVO SANTA CRUZ,CORREGIMIENTO SANTA CRUZ
VALLE DEL CAUCA,BUENAVENTURA,ESCUELA POPULAR EL REFUGIO,IND CLL LA RIVERA
META,VILLAVICENCIO,LICEO GENERAL SERVIEZ,KILÓMETRO 7 VÍA PUERTO LÓPEZ  CANTON MILITAR APIAY
MAGDALENA,SANTA MARTA,INSTITUTO CIRA QUIROZ DE AYALA,CALLE 31 N¿ 8-89
BOLÍVAR,CARTAGENA,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA  UNAD,TV 45 44 A 221
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO MARCO FIDEL SUAREZ (IED),DG 52 SUR 25 00
PUTUMAYO,VILLAGARZÓN,I.E.R. SANTA JULIANA,VDA EL GUINEO
NARIÑO,COLÓN,CENTRO EDUCATIVO LA PLATA,CORREGIMIENTO LA PLATA
