Region,Council,Ward,School,Reg.No.,NECTA Exam Centre No.,School Ownership,Latitude,Longitude,Form 1-M,Form 1-F,Form 2-M,Form 2-F,Form 3-M,Form 3-F,Form 4-M,Form 4-F,Form 5-M,Form 5-F,Form 6-M,Form 6-F,M-Total,F-Total,Total Teachers-Male,Total Teachers-Female,Qualified Teachers-Male,Qualified Teachers-Female,PTR,PQTR,Regist. Cand. 2021,Clean Cand. 2021,Passed Cand. (I to IV) 2021,Average GPA 2021,Band of School 2021,Band of School 2020,Rank of School 2021,Rank of School 2020,Number of Candidates
Tabora,Nzega,Tongi,TONGI,S.2069,S2145,Government,-4.6562156,33.2890379,51,51,25,49,20,30,16,40,0,0,0,0,112,170,9,2,9,2,26,26,55,55,39,4.1199,7,6,3307,2374,40 and More
Tabora,Nzega,Uduka,KILI,S.316,S0517,Government,-4.2045318,32.8895639,35,50,35,37,24,39,29,31,0,88,0,62,123,307,12,2,12,2,31,31,61,61,59,3.8153,6,6,1942,910,40 and More
Tabora,Nzega,Utwigu,MWANHALA,S.1335,S1460,Government,-4.3643507,33.13457792,81,96,39,79,29,53,26,56,0,0,0,0,175,284,8,5,8,5,35,35,41,40,40,3.6447,6,5,1307,179,40 and More
Tabora,Nzega,Wela,WELA,S.3667,S3929,Government,-4.1437715,33.3069015,18,22,13,24,11,8,8,12,0,0,0,0,50,66,9,5,9,5,8,8,31,31,25,4.036,7,7,702,766,Less than 40
Tabora,Nzega TC,Itilo,ITILO,S.3668,S4527,Government,-4.2707766,33,51,48,46,42,29,33,35,48,0,0,0,0,161,171,7,3,7,3,33,33,75,75,68,3.9209,6,6,2428,1689,40 and More
Tabora,Nzega TC,Kitangili,BUGWANGOSO,S.5549,S6306,Government,-4.229,33.2306083,54,55,22,38,0,0,0,0,0,0,0,0,76,93,4,6,4,6,17,17,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Tabora,Nzega TC,Mbogwe,BUGWANDEGE,S.2950,S3002,Government,-4.1533217,33.25388,37,55,17,34,32,17,16,19,0,0,0,0,102,125,6,4,6,4,23,23,36,33,30,4.1536,7,6,766,550,Less than 40
Tabora,Nzega TC,Miguwa,MIGUWA,S.2952,S3004,Government,-4.2049083,33.298165,24,46,11,36,22,33,16,38,0,0,0,0,73,153,7,2,7,2,25,25,67,66,48,4.0846,7,7,3175,3246,40 and More
Tabora,Nzega TC,Mwanzoli,MWANZOLI,S.5154,S5773,Government,-4.2757333,33.2923988,16,78,11,43,19,31,14,31,0,0,0,0,60,183,12,3,12,3,16,16,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Tabora,Nzega TC,Nzega Mjini Magharibi,BADRI,S.455,S0666,Non-Government,-4.219191,33.1915,4,0,0,4,0,7,4,4,0,0,0,0,8,15,12,0,10,0,2,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Tabora,Nzega TC,Nzega Mjini Magharibi,CHIEF NTINGINYA,S.3199,S3877,Government,-4.22065,33.16907,161,163,114,112,92,103,52,87,0,0,0,0,419,465,11,12,10,12,38,40,164,162,124,4.0974,7,7,3221,2969,40 and More
Tabora,Nzega TC,Nzega Mjini Magharibi,NZEGA,S.892,S1259,Government,-4.22760666,33.18119666,136,140,115,117,86,99,94,99,0,0,0,0,431,455,11,9,11,9,44,44,178,172,95,4.3375,8,7,3912,3359,40 and More
Tabora,Nzega TC,Nzega Mjini Magharibi,QUEEN OF PEACE,S.4425,S4969,Non-Government,-4.2040695,33.1831169,0,114,0,119,0,98,0,115,0,0,0,0,0,446,16,4,16,4,22,22,126,126,126,2.1672,3,3,165,152,40 and More
Tabora,Nzega TC,Nzega Mjini Mashariki,BULUNDE,S.2946,S2998,Government,-4.2209116,33.210749,148,174,119,140,110,70,87,115,147,0,97,0,708,499,16,12,16,12,43,43,231,225,174,4.0306,7,7,2937,3120,40 and More
