geo_id,year,deped_id,water,internet,electricity,computers,disability_infrastructure,sanitation_facilities,ss_sanitation_facilities,handwashing_facilities
HND-016379,2011,180400009,,0,,0,,,,
HND-016479,2011,180400163,1,0,1,0,,,,
HND-016405,2011,180400036,1,0,1,0,,,,
HND-016518,2011,180400303,,0,,0,,,,
HND-016488,2011,180400189,1,0,1,0,,,,
HND-016443,2011,180400081,1,0,1,0,,,,
HND-016391,2011,180400021,1,0,1,1,,,,
HND-005022,2011,51200022,1,0,1,0,,,,
HND-005052,2011,51200147,1,0,1,1,,,,
HND-005046,2011,51200093,1,0,1,0,,,,
HND-004004,2011,50100341,1,0,1,0,,,,
HND-004101,2011,50100928,,0,,0,,,,
HND-005035,2011,51200044,1,0,1,0,,,,
HND-003869,2011,50100046,1,0,1,0,,,,
HND-003966,2011,50100226,1,0,1,0,,,,
HND-003923,2011,50100109,1,0,1,1,,,,
HND-004130,2011,50101143,,0,,0,,,,
HND-005042,2011,51200078,,0,,0,,,,
HND-005014,2011,51200001,1,0,1,0,,,,
HND-004738,2011,50900074,,0,,0,,,,
HND-005028,2011,51200029,1,0,1,1,,,,
HND-005041,2011,51200077,,0,,0,,,,
HND-005018,2011,51200008,1,0,1,0,,,,
HND-005029,2011,51200030,1,0,1,0,,,,
HND-005015,2011,51200004,0,0,1,0,,,,
HND-005031,2011,51200034,,0,,0,,,,
HND-004099,2011,50100920,0,0,1,0,,,,
HND-003888,2011,50100069,1,0,1,1,,,,
HND-004088,2011,50100851,,0,,0,,,,
HND-004167,2011,50101330,,,,,,,,
HND-004128,2011,50101133,,0,,0,,,,
HND-004143,2011,50101233,,0,,0,,,,
HND-004094,2011,50100880,1,0,0,0,,,,
HND-004020,2011,50100414,1,0,1,0,,,,
HND-003848,2011,50100018,1,1,1,1,,,,
HND-004115,2011,50101028,,0,,0,,,,
HND-004082,2011,50100785,,0,,0,,,,
HND-004166,2011,50101328,,,,,,,,
HND-004008,2011,50100356,1,0,1,0,,,,
HND-004044,2011,50100537,0,0,1,0,,,,
