code_etablissement,CRE,delegation,nom_etablissement,Type,cre_ar,delagation_ar,code_auto,nom_etablissement_ar,region_ar,cycle_ar,Latitude initiale,Longitude initiale
20514510,Sidi Bouzid,OULED HAFFOUZ,E.PREP.IBN CHARAF OULED HAFOUZ,E.PREP,سيدي بوزيد,أولاد حفوز,514510,م.إ.  ابن شـرف بأولاد حـفـوز,,اعدادي,35.08312839777196,9.87670361995697
40514511,Sidi Bouzid,OULED HAFFOUZ,L.IBN MANDHOUR  HAFFOUZ  ,LYCEE,سيدي بوزيد,أولاد حفوز,514511,معهد ابن منظور بأولاد حفوز,,معهد,35.07950204549371,9.855925887823105
40515806,Sidi Bouzid,REGUEB,L.REGUEB,LYCEE,سيدي بوزيد,الرقاب,515806,معهد  الرقاب,,معهد,34.86082500293219,9.78506755822309
20515807,Sidi Bouzid,REGUEB,E.PREP.IBN SINA REGUEB,E.PREP,سيدي بوزيد,الرقاب,515807,م.إ.  ابن سينا بالرقاب,,اعدادي,34.859,9.791
20515809,Sidi Bouzid,REGUEB,E.PREP.REGUEB,E.PREP,سيدي بوزيد,الرقاب,515809,م.إ.  بالرقاب,,اعدادي,34.8515655058256,9.781951904296875
40515811,Sidi Bouzid,REGUEB,L.TAHAR HADDAD REGUEB,LYCEE,سيدي بوزيد,الرقاب,515811,معهد  الطاهر الحداد بالـرقـاب,,معهد,34.859,9.798
20515812,Sidi Bouzid,REGUEB,E.PREP.IBN ABI DHIAF REGUEB,E.PREP,سيدي بوزيد,الرقاب,515812,م.إ.  ابن ابي الضياف بالرقاب,,اعدادي,33.90689555128866,9.64599609375
20515810,Sidi Bouzid,ESSAIDA,E.PREP.ESSAIDA,E.PREP,سيدي بوزيد,السعيدة,515810,م.إ.  بالسعيدة,,اعدادي,34.96718705744945,9.954407215118408
40515813,Sidi Bouzid,ESSAIDA,L.20 MARS 56 ESSAIDA,LYCEE,سيدي بوزيد,السعيدة,515813,معهد 20 مارس 56 بالسعيدة,,معهد,34.96091455383359,9.944418668746948
20515814,Sidi Bouzid,ESSAIDA,E.PREP. EL KHECHAM ESSAIDA,E.PREP,سيدي بوزيد,السعيدة,515814,المدرسة الإعدادية الخشم,,مختلط,35013953,9584396
30511207,Sidi Bouzid,SIDI BOUZID OUEST,E.PREP.TECH.SIDI BOUZID,E.PREP.TECH,سيدي بوزيد,سيدي بوزيد الغربية,511207,المدرسة الإعداديّة التقنية بسيدي بوزيد,,اعدادي تقني,35.0254981588326,9.4976806640625
30514509,Sidi Bouzid,OULED HAFFOUZ,E.PREP.TECH.OULED HAFFOUZ,E.PREP.TECH,سيدي بوزيد,أولاد حفوز,514509,المدرسة الإعداديّة التقنية بأولاد حفوز,,اعدادي تقني,35.825603,10.608395
