geo_id,country_id,school_name,address,adm0,adm1,adm2,adm3
CRI-004100,,LAS NUBES,,CRI,PUNTARENAS,OSA,PIEDRAS BLANCAS
CRI-004101,,EL SILENCIO,,CRI,LIMON,SIQUIRRES,CAIRO
CRI-004102,,BONILLA,,CRI,LIMON,SIQUIRRES,FLORIDA
CRI-004103,,ANTIGUA Y BARBUDA,,CRI,LIMON,LIMON,VALLE LA ESTRELLA
CRI-004104,,BUENA VISTA,,CRI,LIMON,LIMON,VALLE LA ESTRELLA
CRI-004105,,QUEBRADAS,,CRI,SAN JOSE,PEREZ ZELEDON,SAN ISIDRO
CRI-004106,,ROBERTO CASTRO VARGAS,,CRI,ALAJUELA,OROTINA,OROTINA
CRI-004107,,CHASE,,CRI,LIMON,TALAMANCA,BRATSI
CRI-004108,,COCOBOLO,,CRI,HEREDIA,SARAPIQUI,PUERTO VIEJO
CRI-004109,,NUEVA SANTA ANA,,CRI,SAN JOSE,PEREZ ZELEDON,SAN PEDRO
CRI-004110,,CRISTIANA TORREMOLINOS,,CRI,SAN JOSE,DESAMPARADOS,DESAMPARADOS
CRI-004111,,RICARDO ANGULO VALLEJOS,,CRI,GUANACASTE,SANTA CRUZ,TAMARINDO
CRI-004112,,LAS VUELTAS,,CRI,CARTAGO,JIMENEZ,TUCURRIQUE
CRI-004113,,EL HOYÓN,,CRI,SAN JOSE,PEREZ ZELEDON,SAN ISIDRO
CRI-004114,,GRANADA,,CRI,ALAJUELA,LOS CHILES,EL AMPARO
CRI-004115,,I.D.A. LAS PARCELAS (CARMEN),,CRI,ALAJUELA,SAN CARLOS,PITAL
CRI-004116,,EXCENCIA TAYUTIC,,CRI,CARTAGO,TURRIALBA,TAYUTIC
CRI-004117,,LA DELIA,,CRI,HEREDIA,SARAPIQUI,LA VIRGEN
CRI-004118,,LA ESCUADRA,,CRI,PUNTARENAS,GOLFITO,PAVON
CRI-004119,,DIONISIO LEAL VALLEJOS,,CRI,GUANACASTE,SANTA CRUZ,TEMPATE
CRI-004120,,SAN VITO,,CRI,ALAJUELA,SAN CARLOS,CUTRIS
CRI-004121,,RIO NEGRO,,CRI,ALAJUELA,UPALA,AGUAS CLARAS
CRI-004122,,BELLAVISTA,,CRI,LIMON,LIMON,VALLE LA ESTRELLA
